TimeFrame,Symbol,Candle,DateTime,Open,High,Low,Close,Volume,HL,Body
PERIOD_D1,XAUUSD,1094,2021.08.06 00:00,1804.34,1804.77,1758.61,1763.37,88184.0,4616.000000000008,4097.000000000003
PERIOD_D1,XAUUSD,1093,2021.08.09 00:00,1762.7,1764.52,1723.74,1729.36,127158.0,4077.9999999999973,3334.0000000000146
PERIOD_D1,XAUUSD,1092,2021.08.10 00:00,1729.67,1738.24,1717.67,1728.8,123603.0,2056.9999999999936,87.00000000001182
PERIOD_D1,XAUUSD,1091,2021.08.11 00:00,1729.19,1754.35,1723.95,1751.58,141954.0,3039.9999999999864,2238.9999999999873
PERIOD_D1,XAUUSD,1090,2021.08.12 00:00,1751.04,1758.11,1741.52,1752.85,112543.0,1658.9999999999918,180.99999999999454
PERIOD_D1,XAUUSD,1089,2021.08.13 00:00,1752.35,1779.88,1751.65,1779.32,105677.0,2823.000000000002,2697.0000000000027
PERIOD_D1,XAUUSD,1088,2021.08.16 00:00,1779.67,1789.21,1770.74,1786.97,119525.0,1847.0000000000027,729.9999999999955
PERIOD_D1,XAUUSD,1087,2021.08.17 00:00,1787.29,1795.49,1780.49,1785.95,108237.0,1500.0,133.99999999999181
PERIOD_D1,XAUUSD,1086,2021.08.18 00:00,1785.82,1793.74,1777.31,1787.26,122977.0,1643.0000000000064,144.00000000000546
PERIOD_D1,XAUUSD,1085,2021.08.19 00:00,1787.23,1792.35,1774.44,1779.99,135675.0,1790.9999999999854,724.0000000000009
PERIOD_D1,XAUUSD,1084,2021.08.20 00:00,1780.04,1788.33,1778.27,1780.8,106735.0,1005.9999999999945,75.99999999999909
PERIOD_D1,XAUUSD,1083,2021.08.23 00:00,1781.19,1806.41,1776.39,1805.28,114451.0,3001.999999999998,2408.999999999992
PERIOD_D1,XAUUSD,1082,2021.08.24 00:00,1804.93,1809.48,1800.62,1802.8,88499.0,886.0000000000127,213.0000000000109
PERIOD_D1,XAUUSD,1081,2021.08.25 00:00,1802.63,1803.05,1782.35,1790.21,116035.0,2070.0000000000045,1242.0000000000073
PERIOD_D1,XAUUSD,1080,2021.08.26 00:00,1790.79,1798.14,1779.97,1791.72,102372.0,1817.0000000000073,93.00000000000637
PERIOD_D1,XAUUSD,1079,2021.08.27 00:00,1792.47,1819.23,1787.67,1818.07,103239.0,3155.9999999999945,2559.999999999991
PERIOD_D1,XAUUSD,1078,2021.08.30 00:00,1817.96,1823.11,1807.72,1809.89,93119.0,1538.9999999999873,806.9999999999936
PERIOD_D1,XAUUSD,1077,2021.08.31 00:00,1809.5,1819.14,1801.56,1814.15,121404.0,1758.0000000000155,465.0000000000091
PERIOD_D1,XAUUSD,1076,2021.09.01 00:00,1813.49,1819.98,1808.63,1813.83,102784.0,1134.999999999991,33.999999999991815
PERIOD_D1,XAUUSD,1075,2021.09.02 00:00,1813.41,1817.08,1804.83,1809.4,78984.0,1225.0,400.9999999999991
PERIOD_D1,XAUUSD,1074,2021.09.03 00:00,1809.04,1833.93,1808.91,1827.45,106211.0,2501.999999999998,1841.0000000000082
PERIOD_D1,XAUUSD,1073,2021.09.06 00:00,1828.21,1830.23,1821.34,1823.13,54304.0,889.00000000001,507.9999999999927
PERIOD_D1,XAUUSD,1072,2021.09.07 00:00,1823.17,1827.21,1792.3,1793.71,121917.0,3491.000000000008,2946.0000000000036
PERIOD_D1,XAUUSD,1071,2021.09.08 00:00,1794.05,1802.1,1782.86,1789.08,114801.0,1924.000000000001,497.00000000000273
PERIOD_D1,XAUUSD,1070,2021.09.09 00:00,1789.15,1800.87,1783.71,1794.33,130644.0,1715.9999999999854,517.9999999999836
PERIOD_D1,XAUUSD,1069,2021.09.10 00:00,1794.09,1803.8,1787.17,1787.59,111638.0,1662.9999999999882,650.0
PERIOD_D1,XAUUSD,1068,2021.09.13 00:00,1789.34,1798.33,1783.6,1793.43,119726.0,1473.0000000000018,409.00000000001455
PERIOD_D1,XAUUSD,1067,2021.09.14 00:00,1793.36,1808.58,1781.6,1804.45,126946.0,2698.000000000002,1109.0000000000146
PERIOD_D1,XAUUSD,1066,2021.09.15 00:00,1804.08,1806.88,1790.69,1793.63,120195.0,1619.0000000000055,1044.9999999999818
PERIOD_D1,XAUUSD,1065,2021.09.16 00:00,1794.17,1796.13,1745.22,1753.07,165581.0,5091.000000000008,4110.000000000014
PERIOD_D1,XAUUSD,1064,2021.09.17 00:00,1753.67,1767.42,1747.29,1754.02,138011.0,2013.000000000011,34.999999999990905
PERIOD_D1,XAUUSD,1063,2021.09.20 00:00,1754.02,1766.95,1741.95,1764.3,112425.0,2500.0,1027.9999999999973
PERIOD_D1,XAUUSD,1062,2021.09.21 00:00,1764.52,1781.67,1757.05,1773.92,109351.0,2462.000000000012,940.0000000000091
PERIOD_D1,XAUUSD,1061,2021.09.22 00:00,1773.59,1787.13,1764.59,1767.76,141800.0,2254.000000000019,582.9999999999927
